WorkCode,Type,ESBP
CABORT,Others - N/L,0.25
CABORTP,Others - N/L,0.25
CAUDIT,Others - N/L,0.25
CBBAJA,Others - N/L,0.25
CBBAJB,Others - N/L,0.25
CBBAJC,Others - N/L,0.25
CBBAJN,Others - N/L,0.25
CBBEXA,Others,0.25
CBBEXB,Others,0.25
CBBEXC,Others,0.25
CBBEXN,Others,0.25
CBBISA,Others - N/L,0.25
CBBISB,Others - N/L,0.25
CBBISC,Others - N/L,0.25
CBBISN,Others - N/L,0.25
CBBLCA,Others - N/L,0.25
CBBLCB,Others - N/L,0.25
CBBLCC,Others - N/L,0.25
CBBLCN,Others - N/L,0.25
CBBRMA,Others - N/L,0.25
CBBRMB,Others - N/L,0.25
CBBRMC,Others - N/L,0.25
CBBRMN,Others - N/L,0.25
CBBRPA,Others,0.25
CBBRPB,Others,0.25
CBBRPC,Others,0.25
CBBRPN,Others,0.25
CBBRSA,Others - N/L,0.25
CBBRSB,Others - N/L,0.25
CBBRSC,Others - N/L,0.25
CBBRSN,Others - N/L,0.25
CCHAJLA,Others - N/L,0.25
CCHAJLB,Others - N/L,0.25
CCHAJLC,Others - N/L,0.25
CCHAJLN,Others - N/L,0.25
CCHAJMA,Others - N/L,0.25
CCHAJMB,Others - N/L,0.25
CCHAJMC,Others - N/L,0.25
CCHAJMN,Others - N/L,0.25
CCHAJSA,Others - N/L,0.25
CCHAJSB,Others - N/L,0.25
CCHAJSC,Others - N/L,0.25
CCHAJSN,Others - N/L,0.25
CCHCRLA,Others - N/L,0.25
CCHCRLB,Others - N/L,0.25
CCHCRLC,Others - N/L,0.25
CCHCRLN,Others - N/L,0.25
CCHCRMA,Others - N/L,0.25
CCHCRMB,Others - N/L,0.25
CCHCRMC,Others - N/L,0.25
CCHCRMN,Others - N/L,0.25
CCHCRSA,Others - N/L,0.25
CCHCRSB,Others - N/L,0.25
CCHCRSC,Others - N/L,0.25
CCHCRSN,Others - N/L,0.25
CCHRPLA,Others - N/L,0.25
CCHRPLB,Others - N/L,0.25
CCHRPLC,Others - N/L,0.25
CCHRPLN,Others - N/L,0.25
CCHRPMA,Others - N/L,0.25
CCHRPMB,Others - N/L,0.25
CCHRPMC,Others - N/L,0.25
CCHRPMN,Others - N/L,0.25
CCHRPSA,Others - N/L,0.25
CCHRPSB,Others - N/L,0.25
CCHRPSC,Others - N/L,0.25
CCHRPSN,Others - N/L,0.25
CDOAB,Others - N/L,0.25
CDRYHLE,Others - N/L,0.25
CDRYHLS,Others - N/L,0.25
CEXTEA,Others - N/L,0.25
CEXTEB,Others - N/L,0.25
CEXTEC,Others - N/L,0.25
CEXTEN,Others - N/L,0.25
CFAISA,Others - N/L,0.25
CFAISB,Others - N/L,0.25
CFAISC,Others - N/L,0.25
CFAISN,Others - N/L,0.25
CFBISA,Others - N/L,0.25
CFBISB,Others - N/L,0.25
CFBISC,Others - N/L,0.25
CFBISN,Others - N/L,0.25
CFCISA,Others - N/L,0.25
CFCISB,Others - N/L,0.25
CFCISC,Others - N/L,0.25
CFCISN,Others - N/L,0.25
CFDISA,Others - N/L,0.25
CFDISB,Others - N/L,0.25
CFDISC,Others - N/L,0.25
CFDISN,Others - N/L,0.25
CFEEXA,Comms,1
CFEEXB,Comms,1
CFEEXC,Comms,1
CFEEXN,Comms,1
CFEINA,Comms - N/L,1
CFEINB,Comms - N/L,1
CFEINC,Comms - N/L,1
CFEINN,Comms - N/L,1
CFEISA,Others - N/L,0.25
CFEISB,Others - N/L,0.25
CFEISC,Others - N/L,0.25
CFEISN,Others - N/L,0.25
CFEPLA,Comms,1
CFEPLB,Comms,1
CFEPLC,Comms,1
CFEPLN,Comms,1
CFFISA,Others - N/L,0.25
CFFISB,Others - N/L,0.25
CFFISC,Others - N/L,0.25
CFFISN,Others - N/L,0.25
CFHACA,Others - N/L,0.25
CFHACB,Others - N/L,0.25
CFHACC,Others - N/L,0.25
CFHAJA,Others - N/L,0.25
CFHAJB,Others - N/L,0.25
CFHAJC,Others - N/L,0.25
CFHAJN,Others - N/L,0.25
CFHCRA,Others - N/L,0.25
CFHCRB,Others - N/L,0.25
CFHCRC,Others - N/L,0.25
CFHEXA,Others,0.25
CFHEXB,Others,0.25
CFHEXC,Others,0.25
CFHEXN,Others,0.25
CFHGRA,Others,0.25
CFHGRB,Others,0.25
CFHGRC,Others,0.25
CFHGRN,Others,0.25
CFHLCA,Others - N/L,0.25
CFHLCB,Others - N/L,0.25
CFHLCC,Others - N/L,0.25
CFHLEXA,Others,0.25
CFHLEXB,Others,0.25
CFHLEXC,Others,0.25
CFHLEXN,Others,0.25
CFHMPN,Others - N/L,0.25
CFHPLA,Others - N/L,0.25
CFHPLB,Others - N/L,0.25
CFHPLC,Others - N/L,0.25
CFHRCN,Others - N/L,0.25
CFHRMA,Others - N/L,0.25
CFHRMB,Others - N/L,0.25
CFHRMC,Others - N/L,0.25
CFHRMN,Others - N/L,0.25
CFHRPA,Others,0.25
CFHRPB,Others,0.25
CFHRPC,Others,0.25
CFHRPN,Others,0.25
CFHSPN,Others - N/L,0.25
CFHSRN,Others - N/L,0.25
CM2EXA,Comms,1
CM2EXB,Comms,1
CM2EXC,Comms,1
CM2EXN,Comms,1
CM4EXA,Comms,1
CM4EXB,Comms,1
CM4EXC,Comms,1
CM4EXN,Comms,1
CM6EXA,Comms,1
CM6EXB,Comms,1
CM6EXC,Comms,1
CM6EXN,Comms,1
CMACOA,Mains,3.75
CMACOB,Mains,3.75
CMACOC,Mains,3.75
CMACON,Mains,3.75
CMARPA,Mains,3.75
CMARPB,Mains,3.75
CMARPC,Mains,3.75
CMARPN,Mains,3.75
CMASTB,Others - N/L,0.25
CMASTC,Others - N/L,0.25
CMBCOA,Mains,3.75
CMBCOB,Mains,3.75
CMBCOC,Mains,3.75
CMBCON,Mains,3.75
CMBRPA,Mains,3.75
CMBRPB,Mains,3.75
CMBRPC,Mains,3.75
CMBRPN,Mains,3.75
CMCCOA,Mains,3.75
CMCCOB,Mains,3.75
CMCCOC,Mains,3.75
CMCCON,Mains,3.75
CMCRPA,Mains,3.75
CMCRPB,Mains,3.75
CMCRPC,Mains,3.75
CMCRPN,Mains,3.75
CMDCOA,Mains,3.75
CMDCOB,Mains,3.75
CMDCOC,Mains,3.75
CMDCON,Mains,3.75
CMDRPA,Mains,3.75
CMDRPB,Mains,3.75
CMDRPC,Mains,3.75
CMDRPN,Mains,3.75
CMECOA,Mains,3.75
CMECOB,Mains,3.75
CMECOC,Mains,3.75
CMECON,Mains,3.75
CMERPA,Mains,3.75
CMERPB,Mains,3.75
CMERPC,Mains,3.75
CMERPN,Mains,3.75
CMFCOA,Mains,3.75
CMFCOB,Mains,3.75
CMFCOC,Mains,3.75
CMFCON,Mains,3.75
CMFRPA,Mains,3.75
CMFRPB,Mains,3.75
CMFRPC,Mains,3.75
CMFRPN,Mains,3.75
CPAEXA,Others - N/L,0.25
CPAEXB,Others - N/L,0.25
CPAEXC,Others - N/L,0.25
CPAEXN,Others - N/L,0.25
CPAISA,Others - N/L,0.25
CPAISB,Others - N/L,0.25
