material,roughness
Steel,140
Ductile Iron,130
Unknown,120
Cast Iron,120
Medium Density Polyethylene,140
High Performance Polyethylene,150
Polyolefin,150
Glass Reinforced Plastic,140
Unplasticized Polyvinyl Chloride,140
Copper,140
Stainless Steel,140
Asbestos Cement,140
Unknown,120
Concrete Steel,120
Other,120
Mild Steel Epoxy Coated,140
Low Density Polyethylene,150
Bituminous,120
Polyvinyl Chloride,140
Brick,120
Fiberglass,140
Copper,140
Galvanized Iron,120
Aluminium,140
Medium Density Polyethylene,140
High Performance Polyethylene,150
Plastic,140
Asbestos Cement,140
Bituminous,120
Glass,140
High Density Polyethylene,150
Polyolefin,150
Unplasticized Polyvinyl Chloride,140
High Performance Polyethylene,150
Polyethylene,140
Unknown,120
Galvanized Iron,120
Polyethylene Aluminium Composite,140
Copper,140
Polyurethane,150
Polyethylene,140
Copper,140
Copper,140
Lead,120
Other,120
PVC,140
Vinyl Chloride,140
High Performance Polyethylene,150
Medium Density Polyethylene,140
Polypropylene,140
Medium Density Polyethylene,140
Galvanised,120
Plastic,140
Polyurethane,150
Polyethylene,140
Low Density Polyethylene,150
Steel High Pressure Polyethylene,140
Polyvinyl Chloride,140
Assumed smooth,0
Marble,120
